Company,Item,Calories,Calories_from_Fat,Total_Fat_g,Saturated_Fat_g,Trans_Fat_g,Cholesterol_mg,Sodium__mg,Carbs_g,Fiber_g,Sugars_g,Protein_g,Weight_Watchers_Pnts,Calorie_Category,Protein_Ratio,Fat_Calorie_Percent,Health_Score
McDonald’s,Spicy Buffalo Sauce,60.0,50.0,6.0,1.0,0.0,0.0,800.0,1.0,1.0,0.0,0.0,61.0,Baja,0.0,83.33333333333334,2
McDonald’s,Creamy Ranch Sauce,170.0,160.0,18.0,3.0,0.0,10.0,270.0,2.0,0.0,1.0,0.0,174.0,Baja,0.0,94.11764705882352,3
McDonald’s,Tangy Honey Mustard Sauce,60.0,20.0,2.0,0.0,0.0,5.0,140.0,10.0,0.0,8.0,0.0,68.0,Baja,0.0,33.33333333333333,3
McDonald’s,Southwestern Chipotle Barbeque Sauce,60.0,0.0,0.0,0.0,0.0,0.0,210.0,15.0,1.0,11.0,0.0,71.0,Baja,0.0,0.0,3
McDonald’s,Premium Southwest Salad with Grilled Chicken,320.0,80.0,9.0,3.0,0.0,70.0,960.0,30.0,6.0,11.0,30.0,304.0,Media,0.09375,25.0,2
McDonald’s,Premium Southwest Salad with Crispy Chicken,430.0,180.0,20.0,4.0,0.0,55.0,920.0,38.0,6.0,12.0,26.0,420.0,Media,0.06046511627906977,41.86046511627907,1
McDonald’s,Premium Southwest Salad (without chicken),140.0,40.0,4.5,2.0,0.0,10.0,150.0,20.0,6.0,6.0,6.0,142.0,Baja,0.04285714285714286,28.57142857142857,3
McDonald’s,Premium Bacon Ranch Salad with Grilled Chicken,260.0,90.0,9.0,4.0,0.0,90.0,1010.0,12.0,3.0,5.0,33.0,236.0,Baja,0.12692307692307692,34.61538461538461,2
McDonald’s,Premium Bacon Ranch Salad with Crispy Chicken,370.0,180.0,20.0,6.0,0.0,75.0,970.0,20.0,3.0,6.0,29.0,353.0,Media,0.07837837837837838,48.64864864864865,1
McDonald’s,Premium Bacon Ranch Salad (without chicken),140.0,70.0,7.0,3.5,0.0,25.0,300.0,10.0,3.0,4.0,9.0,138.5,Baja,0.06428571428571428,50.0,3
McDonald’s,Premium Caesar Salad with Grilled Chicken,220.0,60.0,6.0,3.0,0.0,75.0,890.0,12.0,3.0,5.0,30.0,198.0,Baja,0.13636363636363635,27.27272727272727,2
McDonald’s,Premium Caesar Salad with Crispy Chicken,330.0,150.0,17.0,4.5,0.0,60.0,840.0,20.0,3.0,6.0,26.0,314.5,Media,0.07878787878787878,45.45454545454545,2
McDonald’s,Premium Caesar Salad (without chicken),90.0,35.0,4.0,2.5,0.0,10.0,180.0,9.0,3.0,4.0,7.0,89.5,Baja,0.07777777777777778,38.88888888888889,3
McDonald’s,Side Salad,20.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,1.0,2.0,1.0,21.0,Baja,0.05,0.0,3
McDonald’s,Butter Garlic Croutons,60.0,15.0,1.5,0.0,0.0,0.0,140.0,10.0,1.0,0.0,2.0,58.0,Baja,0.03333333333333333,25.0,3
McDonald’s,Snack Size Fruit & Walnut Salad,210.0,70.0,8.0,1.5,0.0,5.0,60.0,31.0,2.0,25.0,4.0,232.5,Baja,0.01904761904761905,33.33333333333333,3
McDonald’s,Newman’s Own® Creamy Southwest Dressing,100.0,50.0,6.0,1.0,0.0,20.0,340.0,11.0,0.0,3.0,1.0,103.0,Baja,0.01,50.0,3
McDonald’s,Newman’s Own® Creamy Caesar Dressing,190.0,170.0,18.0,3.5,0.0,20.0,500.0,4.0,0.0,2.0,2.0,193.5,Baja,0.010526315789473684,89.47368421052632,3
McDonald’s,Newman’s Own® Low Fat Balsamic Vinaigrette,40.0,25.0,3.0,0.0,0.0,0.0,730.0,4.0,0.0,3.0,0.0,43.0,Baja,0.0,62.5,3
McDonald’s,Newman’s Own® Low Fat Family Recipe Italian Dressing,60.0,20.0,2.5,0.0,0.0,0.0,730.0,8.0,0.0,1.0,1.0,60.0,Baja,0.016666666666666666,33.33333333333333,3
McDonald’s,Newman’s Own® Ranch Dressing,170.0,130.0,15.0,2.5,0.0,20.0,530.0,9.0,0.0,4.0,1.0,175.5,Baja,0.0058823529411764705,76.47058823529412,3
McDonald’s,Egg McMuffin®,300.0,110.0,12.0,5.0,0.0,260.0,820.0,30.0,2.0,3.0,18.0,290.0,Media,0.06,36.666666666666664,2
McDonald’s,Sausage McMuffin®,370.0,200.0,22.0,8.0,0.0,45.0,850.0,29.0,2.0,2.0,14.0,366.0,Media,0.03783783783783784,54.054054054054056,1
McDonald’s,Sausage McMuffin® with Egg,450.0,250.0,27.0,10.0,0.0,285.0,920.0,30.0,2.0,2.0,21.0,441.0,Media,0.04666666666666667,55.55555555555556,1
McDonald’s,English Muffin,160.0,30.0,3.0,0.5,0.0,0.0,280.0,27.0,2.0,2.0,5.0,157.5,Baja,0.03125,18.75,3
McDonald’s,"Bacon, Egg & Cheese Biscuit (Regular Size Biscuit)",420.0,210.0,23.0,12.0,0.0,235.0,1160.0,37.0,2.0,3.0,15.0,420.0,Media,0.03571428571428571,50.0,1
McDonald’s,"Bacon, Egg & Cheese Biscuit (Large Size Biscuit)",480.0,240.0,27.0,12.0,0.0,235.0,1270.0,43.0,3.0,4.0,15.0,481.0,Media,0.03125,50.0,1
McDonald’s,Sausage Biscuit with Egg (Regular Size Biscuit),510.0,290.0,33.0,14.0,0.0,250.0,1170.0,36.0,2.0,2.0,18.0,508.0,Media,0.03529411764705882,56.86274509803921,0
McDonald’s,Sausage Biscuit with Egg (Large Size Biscuit),570.0,330.0,37.0,15.0,0.0,250.0,1280.0,42.0,3.0,3.0,18.0,570.0,Media,0.031578947368421054,57.89473684210527,0
McDonald’s,Sausage Biscuit (Regular Size Biscuit),430.0,240.0,27.0,12.0,0.0,30.0,1080.0,34.0,2.0,2.0,11.0,433.0,Media,0.02558139534883721,55.81395348837209,1
McDonald’s,Sausage Biscuit (Large Size Biscuit),480.0,280.0,31.0,13.0,0.0,30.0,1190.0,39.0,3.0,3.0,11.0,485.0,Media,0.022916666666666665,58.333333333333336,1
McDonald’s,Southern Style Chicken Biscuit (Regular Size Biscuit),410.0,180.0,20.0,8.0,0.0,30.0,1180.0,41.0,2.0,3.0,17.0,404.0,Media,0.041463414634146344,43.90243902439025,1
McDonald’s,Southern Style Chicken Biscuit (Large Size Biscuit),470.0,220.0,24.0,9.0,0.0,30.0,1290.0,46.0,3.0,4.0,17.0,466.0,Media,0.036170212765957444,46.808510638297875,1
McDonald’s,"Steak, Egg & Cheese Bagel",660.0,300.0,33.0,12.0,1.0,300.0,1580.0,56.0,3.0,7.0,33.0,646.0,Alta,0.05,45.45454545454545,0
McDonald’s,"Bacon, Egg & Cheese McGriddles®",420.0,160.0,18.0,8.0,0.0,240.0,1110.0,48.0,2.0,15.0,15.0,428.0,Media,0.03571428571428571,38.095238095238095,2
McDonald’s,"Sausage, Egg & Cheese McGriddles®",560.0,290.0,32.0,12.0,0.0,265.0,1360.0,48.0,2.0,15.0,20.0,567.0,Media,0.03571428571428571,51.78571428571429,0
McDonald’s,Sausage McGriddles®,420.0,200.0,22.0,8.0,0.0,35.0,1030.0,44.0,2.0,15.0,11.0,432.0,Media,0.02619047619047619,47.61904761904761,1
McDonald’s,Big Breakfast® (Regular Size Biscuit),740.0,430.0,48.0,17.0,0.0,555.0,1560.0,51.0,3.0,3.0,28.0,732.0,Alta,0.03783783783783784,58.108108108108105,0
McDonald’s,Big Breakfast® (Large Size Biscuit),800.0,470.0,52.0,18.0,0.0,555.0,1680.0,56.0,4.0,3.0,28.0,793.0,Alta,0.035,58.75,0
McDonald’s,Big Breakfast with Hotcakes (Regular Size Biscuit),1090.0,510.0,56.0,19.0,0.0,575.0,2150.0,111.0,6.0,17.0,36.0,1090.0,Alta,0.03302752293577982,46.788990825688074,0
McDonald’s,Big Breakfast with Hotcakes (Large Size Biscuit),1150.0,540.0,60.0,20.0,0.0,575.0,2260.0,116.0,7.0,17.0,36.0,1151.0,Alta,0.03130434782608696,46.95652173913044,0
McDonald’s,Sausage Burrito,300.0,140.0,16.0,7.0,0.0,115.0,830.0,26.0,1.0,2.0,12.0,297.0,Media,0.04,46.666666666666664,2
McDonald’s,McSkillet™ Burrito with Sausage,610.0,320.0,36.0,14.0,0.5,410.0,1390.0,44.0,3.0,4.0,27.0,601.0,Alta,0.04426229508196721,52.459016393442624,0
McDonald’s,Hotcakes,350.0,80.0,9.0,2.0,0.0,20.0,590.0,60.0,3.0,14.0,8.0,358.0,Media,0.022857142857142857,22.857142857142858,3
McDonald’s,Hotcakes and Sausage,520.0,210.0,24.0,7.0,0.0,50.0,930.0,61.0,3.0,14.0,15.0,526.0,Media,0.028846153846153848,40.38461538461539,0
McDonald’s,Hotcake Syrup,180.0,0.0,0.0,0.0,0.0,0.0,20.0,45.0,0.0,32.0,0.0,212.0,Baja,0.0,0.0,3
McDonald’s,Whipped Margarine (1 pat),40.0,40.0,4.5,1.5,0.0,0.0,55.0,0.0,0.0,0.0,0.0,41.5,Baja,0.0,100.0,3
